# Mass Density (g/cm^3)  Energy (eV/atom)  Total_Atom  Fe  Ge  O  Si  Ta  Ti  Zr
2.312760  -5.424229  8  0  0  0  8  0  0  0
3.499891  -7.573503  720  0  111  480  24  0  105  0
3.499891  -7.573502  720  0  111  480  24  0  105  0
3.499891  -7.573504  720  0  111  480  24  0  105  0
3.499891  -7.573506  720  0  111  480  24  0  105  0
3.499891  -7.573506  720  0  111  480  24  0  105  0
3.499891  -7.573508  720  0  111  480  24  0  105  0
2.330313  -5.265440  512  0  0  0  512  0  0  0
2.330313  -5.266395  512  0  0  0  512  0  0  0
2.330313  -5.266402  512  0  0  0  512  0  0  0
2.330313  -5.266614  512  0  0  0  512  0  0  0
2.330313  -5.266663  512  0  0  0  512  0  0  0
2.330313  -5.266778  512  0  0  0  512  0  0  0
2.330313  -5.266790  512  0  0  0  512  0  0  0
2.330313  -5.266849  512  0  0  0  512  0  0  0
2.330313  -5.266856  512  0  0  0  512  0  0  0
2.330313  -5.266897  512  0  0  0  512  0  0  0
2.330313  -5.266898  512  0  0  0  512  0  0  0
2.330313  -5.266921  512  0  0  0  512  0  0  0
2.330313  -5.266921  512  0  0  0  512  0  0  0
2.330313  -5.266935  512  0  0  0  512  0  0  0
2.330313  -5.266935  512  0  0  0  512  0  0  0
2.330313  -5.266943  512  0  0  0  512  0  0  0
2.330313  -5.266944  512  0  0  0  512  0  0  0
2.330313  -5.266951  512  0  0  0  512  0  0  0
2.330313  -5.266952  512  0  0  0  512  0  0  0
2.330313  -5.266958  512  0  0  0  512  0  0  0
2.330313  -5.266958  512  0  0  0  512  0  0  0
2.330313  -5.266962  512  0  0  0  512  0  0  0
2.330313  -5.266962  512  0  0  0  512  0  0  0
2.330313  -5.266964  512  0  0  0  512  0  0  0
3.299933  -7.585731  720  0  111  480  24  0  105  0
3.299933  -7.585730  720  0  111  480  24  0  105  0
3.299933  -7.585733  720  0  111  480  24  0  105  0
3.299933  -7.585734  720  0  111  480  24  0  105  0
3.299933  -7.585735  720  0  111  480  24  0  105  0
3.299933  -7.585736  720  0  111  480  24  0  105  0
3.299933  -7.585737  720  0  111  480  24  0  105  0
3.299933  -7.585738  720  0  111  480  24  0  105  0
3.299933  -7.585739  720  0  111  480  24  0  105  0
3.299933  -7.585741  720  0  111  480  24  0  105  0
3.299933  -7.585740  720  0  111  480  24  0  105  0
3.299933  -7.585741  720  0  111  480  24  0  105  0
3.299933  -7.585742  720  0  111  480  24  0  105  0
3.299933  -7.585743  720  0  111  480  24  0  105  0
3.299933  -7.585745  720  0  111  480  24  0  105  0
3.299933  -7.585746  720  0  111  480  24  0  105  0
3.299933  -7.585747  720  0  111  480  24  0  105  0
3.299933  -7.585748  720  0  111  480  24  0  105  0
3.299933  -7.585749  720  0  111  480  24  0  105  0
3.399886  -7.573203  720  0  111  480  24  0  105  0
3.399886  -7.573208  720  0  111  480  24  0  105  0
3.399886  -7.573208  720  0  111  480  24  0  105  0
3.399886  -7.573211  720  0  111  480  24  0  105  0
3.399886  -7.573214  720  0  111  480  24  0  105  0
3.399886  -7.573212  720  0  111  480  24  0  105  0
3.399886  -7.573215  720  0  111  480  24  0  105  0
3.399886  -7.573218  720  0  111  480  24  0  105  0
3.399886  -7.573221  720  0  111  480  24  0  105  0
3.399886  -7.573222  720  0  111  480  24  0  105  0
3.399886  -7.573225  720  0  111  480  24  0  105  0
3.399886  -7.573227  720  0  111  480  24  0  105  0
3.399886  -7.573225  720  0  111  480  24  0  105  0
3.399886  -7.573227  720  0  111  480  24  0  105  0
3.399886  -7.573231  720  0  111  480  24  0  105  0
3.399886  -7.573234  720  0  111  480  24  0  105  0
3.399886  -7.573234  720  0  111  480  24  0  105  0
3.399886  -7.573237  720  0  111  480  24  0  105  0
3.399886  -7.573239  720  0  111  480  24  0  105  0
3.399886  -7.573240  720  0  111  480  24  0  105  0
3.399886  -7.573242  720  0  111  480  24  0  105  0
3.399886  -7.573244  720  0  111  480  24  0  105  0
3.399886  -7.573243  720  0  111  480  24  0  105  0
3.399886  -7.573244  720  0  111  480  24  0  105  0
3.399886  -7.573247  720  0  111  480  24  0  105  0
3.399886  -7.573249  720  0  111  480  24  0  105  0
3.399886  -7.573249  720  0  111  480  24  0  105  0
3.399886  -7.573251  720  0  111  480  24  0  105  0
3.399886  -7.573253  720  0  111  480  24  0  105  0
3.399886  -7.573255  720  0  111  480  24  0  105  0
3.399886  -7.573255  720  0  111  480  24  0  105  0
3.399886  -7.573256  720  0  111  480  24  0  105  0
3.399886  -7.573257  720  0  111  480  24  0  105  0
3.399886  -7.573258  720  0  111  480  24  0  105  0
3.399886  -7.573258  720  0  111  480  24  0  105  0
3.399886  -7.573259  720  0  111  480  24  0  105  0
2.250312  -5.200068  1000  0  0  0  1000  0  0  0
2.250312  -5.234007  1000  0  0  0  1000  0  0  0
2.250312  -5.235787  1000  0  0  0  1000  0  0  0
2.250312  -5.243852  1000  0  0  0  1000  0  0  0
2.250312  -5.246379  1000  0  0  0  1000  0  0  0
2.250312  -5.251694  1000  0  0  0  1000  0  0  0
2.250312  -5.253125  1000  0  0  0  1000  0  0  0
