epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
1,0.137587,0.123570,0.126639,0.126222,1167.2
2,0.120508,0.117712,0.121068,0.115869,1137.1
3,0.114095,0.114745,0.112620,0.107628,1129.1
4,0.110675,0.109661,0.108205,0.115404,1127.9
5,0.109243,0.109167,0.114621,0.105950,1105.7
6,0.107290,0.105927,0.107190,0.103806,1093.3
7,0.105876,0.106149,0.106393,0.105726,1081.5
8,0.104399,0.105355,0.106758,0.102596,1069.6
9,0.103412,0.102434,0.095450,0.098351,1053.0
10,0.102277,0.101974,0.099387,0.103199,1043.7
11,0.101488,0.100666,0.110436,0.101860,1032.1
12,0.100532,0.100267,0.104371,0.093511,1040.2
13,0.100002,0.098721,0.104093,0.099946,1012.7
14,0.099219,0.099157,0.089045,0.100521,1001.7
15,0.098328,0.098031,0.102913,0.102768,997.0
16,0.098253,0.097580,0.101570,0.100408,985.6
17,0.097619,0.099497,0.100429,0.097560,984.2
18,0.096940,0.095802,0.097437,0.093777,975.8
19,0.095959,0.096108,0.091881,0.098202,975.9
20,0.095650,0.096379,0.095192,0.089949,970.5
21,0.095933,0.096003,0.092564,0.100576,963.3
22,0.095392,0.094127,0.097214,0.097783,964.7
23,0.094580,0.094315,0.088693,0.097071,956.3
24,0.094325,0.094168,0.094569,0.098886,958.1
25,0.093846,0.093653,0.090668,0.091346,950.8
26,0.094117,0.093253,0.094267,0.097950,955.8
27,0.093508,0.095471,0.094030,0.091433,944.4
28,0.093206,0.094489,0.087606,0.097365,943.9
29,0.092968,0.094083,0.092602,0.096403,941.3
30,0.092565,0.093289,0.094354,0.095019,938.8
31,0.093058,0.092327,0.086663,0.092502,936.6
32,0.092003,0.093951,0.089650,0.081304,936.3
33,0.092200,0.091616,0.096054,0.098175,934.6
34,0.092285,0.090435,0.095580,0.094433,928.1
35,0.091397,0.092661,0.088500,0.091052,928.4
36,0.091845,0.091880,0.094150,0.092691,929.4
37,0.091803,0.091882,0.095054,0.093577,927.8
38,0.091617,0.092041,0.093199,0.089507,924.3
39,0.091440,0.091087,0.091953,0.091343,923.1
40,0.091390,0.091559,0.095134,0.090056,922.6
41,0.091090,0.091961,0.092289,0.093754,923.5
42,0.090685,0.089780,0.090590,0.094270,918.0
43,0.091152,0.089618,0.087818,0.084277,917.5
44,0.090782,0.090493,0.096406,0.085372,919.9
45,0.090261,0.091042,0.090012,0.090706,913.4
46,0.089769,0.088711,0.090442,0.089958,916.9
47,0.090470,0.090036,0.087776,0.093270,913.4
48,0.090193,0.089973,0.090196,0.087861,914.6
49,0.090053,0.089204,0.089317,0.091053,913.1
50,0.089714,0.090158,0.085850,0.087559,909.8
51,0.089536,0.090220,0.091546,0.088777,909.8
52,0.089545,0.088914,0.088945,0.087207,910.1
53,0.089477,0.088752,0.087696,0.092812,910.1
54,0.089698,0.089768,0.085833,0.089029,910.8
55,0.088991,0.089661,0.088425,0.087305,907.9
56,0.088552,0.089810,0.084983,0.089823,910.3
57,0.089294,0.090016,0.088534,0.094240,905.1
58,0.089416,0.088040,0.085809,0.089386,904.2
59,0.088522,0.090006,0.088669,0.090364,907.4
60,0.088973,0.089503,0.086441,0.092975,903.1
61,0.088884,0.089082,0.079665,0.086254,907.3
62,0.089041,0.088410,0.090100,0.090440,903.2
63,0.088735,0.091217,0.092814,0.088765,906.2
64,0.088743,0.088958,0.088790,0.089944,902.7
65,0.088478,0.089226,0.086269,0.090583,902.6
66,0.088393,0.087630,0.084584,0.089522,899.8
67,0.088718,0.087935,0.081201,0.087482,902.3
68,0.088429,0.087642,0.088648,0.092651,901.2
69,0.088143,0.086960,0.084766,0.087885,899.4
70,0.087654,0.088476,0.083960,0.086437,899.1
71,0.087459,0.087744,0.086787,0.088713,900.9
72,0.087198,0.087666,0.087029,0.088027,900.3
73,0.087686,0.086792,0.090231,0.094805,899.7
74,0.087299,0.089629,0.089206,0.087319,897.9
75,0.087182,0.086943,0.090976,0.092966,899.2
76,0.087356,0.087524,0.086963,0.083309,898.2
77,0.086971,0.086983,0.090376,0.086582,897.3
78,0.087678,0.087992,0.090212,0.087749,897.8
79,0.087571,0.086591,0.084374,0.088843,897.5
80,0.087289,0.087694,0.088931,0.088283,898.0
81,0.087114,0.085348,0.082760,0.087107,899.5
82,0.086787,0.086559,0.085062,0.084043,896.9
83,0.086976,0.086873,0.087167,0.082360,895.2
84,0.086373,0.087712,0.091785,0.094904,894.9
85,0.086952,0.088033,0.081499,0.090291,896.2
86,0.087133,0.085498,0.085580,0.087331,897.5
87,0.086415,0.089673,0.091046,0.082723,897.5
88,0.086046,0.086159,0.081809,0.082226,893.4
89,0.086825,0.086924,0.085739,0.086273,895.6
90,0.086574,0.088957,0.078995,0.088649,894.6
91,0.086308,0.089379,0.086024,0.080815,897.3
92,0.086438,0.085693,0.079802,0.085624,895.0
93,0.086010,0.084057,0.080176,0.092139,897.2
94,0.085745,0.085522,0.088186,0.087403,893.8
95,0.085473,0.085847,0.083154,0.088261,894.7
