epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
1,0.140196,0.127752,0.125144,0.138001,759.0
2,0.122356,0.119074,0.121868,0.113906,744.4
3,0.115451,0.115763,0.115067,0.117440,743.9
4,0.111494,0.110417,0.101823,0.117299,742.9
5,0.107972,0.108442,0.107913,0.107490,743.7
6,0.106009,0.104266,0.102036,0.100917,738.1
7,0.104486,0.103571,0.102514,0.107766,740.6
8,0.102644,0.103003,0.105949,0.102134,740.5
9,0.102045,0.100648,0.107952,0.103593,735.4
10,0.100737,0.098787,0.095856,0.093252,737.4
11,0.099872,0.100423,0.104252,0.099216,736.5
12,0.098872,0.098433,0.096325,0.100966,733.7
13,0.098368,0.099121,0.102143,0.097417,734.8
14,0.097808,0.100273,0.094101,0.101707,731.2
15,0.097473,0.096111,0.099894,0.091742,730.1
16,0.096977,0.098095,0.093052,0.095577,726.8
17,0.096387,0.098204,0.099551,0.098482,727.4
18,0.095725,0.095777,0.099327,0.095604,727.3
19,0.095240,0.095579,0.094798,0.099732,727.8
20,0.095325,0.095632,0.099453,0.090254,727.5
21,0.094997,0.093960,0.094906,0.094855,723.8
22,0.094275,0.094688,0.087896,0.093734,725.6
23,0.095045,0.094646,0.096322,0.094797,726.2
24,0.093954,0.095501,0.098021,0.091871,721.1
25,0.093744,0.094693,0.088475,0.093079,720.7
26,0.093767,0.090872,0.095411,0.089765,726.0
27,0.093786,0.092752,0.096063,0.089358,720.8
28,0.093239,0.090938,0.085430,0.095615,721.9
29,0.093468,0.093662,0.093543,0.094273,723.1
30,0.092292,0.092732,0.089391,0.092116,719.7
31,0.093127,0.092959,0.096359,0.088902,720.2
32,0.092515,0.093058,0.093945,0.091762,720.9
33,0.092319,0.092399,0.092145,0.092374,720.6
34,0.092133,0.091916,0.090870,0.094153,718.6
35,0.092351,0.093954,0.094783,0.093827,718.5
36,0.091879,0.091726,0.093562,0.089094,720.2
37,0.092261,0.092002,0.087224,0.088285,719.4
38,0.091782,0.092242,0.096350,0.090436,717.9
39,0.091806,0.090905,0.091393,0.091185,718.0
40,0.091472,0.091474,0.099212,0.091374,718.5
41,0.091945,0.090626,0.095751,0.089265,720.6
42,0.091380,0.092296,0.093522,0.091586,717.4
43,0.091331,0.092146,0.091836,0.093802,718.0
44,0.090726,0.091775,0.088607,0.098518,718.7
45,0.090909,0.091719,0.092579,0.089808,716.0
46,0.090892,0.090259,0.094434,0.089861,716.6
47,0.090517,0.091624,0.088785,0.089956,714.5
48,0.090650,0.089389,0.096285,0.091258,716.6
49,0.090824,0.090338,0.092277,0.086622,717.7
