epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
1,0.138210,0.123864,0.121891,0.127174,780.5
2,0.118002,0.117472,0.117576,0.114425,770.5
3,0.111938,0.109453,0.112159,0.108604,773.9
4,0.109142,0.110382,0.112584,0.114874,770.4
5,0.107147,0.107250,0.098836,0.095498,764.5
6,0.105316,0.105619,0.105759,0.100851,769.4
7,0.104208,0.105835,0.104516,0.102106,758.5
8,0.102806,0.103253,0.101279,0.104093,754.9
9,0.102091,0.100686,0.102086,0.102650,749.2
10,0.100973,0.099351,0.105575,0.099158,745.3
11,0.100601,0.101826,0.101704,0.109038,740.4
12,0.099214,0.100677,0.094995,0.096205,739.9
13,0.099515,0.099538,0.102115,0.105058,734.1
14,0.098493,0.097452,0.097200,0.095973,725.3
15,0.098227,0.098588,0.096996,0.106281,722.4
16,0.097575,0.098317,0.095210,0.095703,715.9
17,0.097319,0.096498,0.096731,0.099866,715.9
18,0.097798,0.097829,0.093268,0.101644,710.0
19,0.096541,0.096043,0.094704,0.092367,711.9
20,0.096503,0.096579,0.094268,0.094782,705.3
21,0.096209,0.095496,0.097650,0.100171,700.3
22,0.095550,0.095707,0.096630,0.094364,700.7
23,0.096313,0.097711,0.093302,0.090311,696.4
24,0.095694,0.095159,0.097580,0.095199,694.7
25,0.095389,0.098421,0.100742,0.102201,689.1
26,0.095109,0.096631,0.094294,0.097953,692.6
27,0.095549,0.094667,0.096020,0.097511,687.3
28,0.094960,0.095401,0.092762,0.092111,688.2
29,0.095299,0.094548,0.096392,0.098737,687.9
30,0.094619,0.094990,0.097443,0.092272,683.7
31,0.094744,0.095725,0.089639,0.095735,681.1
32,0.094698,0.093703,0.087726,0.093231,682.0
33,0.094649,0.093933,0.093966,0.094325,681.3
34,0.095087,0.094294,0.093460,0.093107,677.6
35,0.094473,0.094970,0.090796,0.091152,678.3
36,0.093722,0.092775,0.089765,0.090952,679.7
37,0.094203,0.095660,0.090818,0.094766,677.5
38,0.093700,0.092239,0.090408,0.101586,674.8
39,0.094129,0.094312,0.092650,0.095836,673.9
40,0.093356,0.095756,0.094697,0.092647,676.0
41,0.093253,0.094306,0.092997,0.088565,676.0
42,0.093994,0.094754,0.090306,0.088548,673.6
43,0.093790,0.093162,0.091300,0.085589,673.0
44,0.093145,0.094166,0.090603,0.092359,675.5
45,0.093161,0.092443,0.088904,0.092231,669.5
46,0.092413,0.093377,0.096303,0.093841,671.5
47,0.092921,0.090340,0.092373,0.088170,669.7
48,0.093002,0.092021,0.091522,0.095409,671.1
49,0.092537,0.091033,0.095294,0.090439,671.9
50,0.092468,0.091678,0.087547,0.095326,667.4
51,0.092854,0.092788,0.095821,0.094122,668.8
52,0.092669,0.090717,0.084111,0.094696,669.3
53,0.093165,0.093416,0.087663,0.089118,671.5
54,0.092902,0.091875,0.090262,0.093956,669.2
55,0.092049,0.091817,0.102537,0.094362,667.7
56,0.092885,0.091781,0.094845,0.087014,670.6
57,0.092646,0.092833,0.091186,0.087192,667.6
58,0.092759,0.091754,0.094459,0.093441,665.6
59,0.092430,0.090922,0.089041,0.092553,668.2
60,0.092501,0.091870,0.086508,0.094912,666.3
61,0.092331,0.093021,0.098685,0.086353,669.1
62,0.092011,0.093261,0.084595,0.091857,666.4
63,0.091855,0.090448,0.097076,0.096563,668.0
64,0.091506,0.092356,0.091985,0.091389,666.1
65,0.091979,0.089994,0.092459,0.093656,666.7
66,0.091927,0.090537,0.085948,0.096643,665.9
67,0.091845,0.090559,0.094057,0.088257,666.9
68,0.092414,0.091952,0.092962,0.096111,666.6
69,0.091894,0.091736,0.089935,0.095013,665.2
70,0.091740,0.091924,0.090201,0.092657,665.8
71,0.091312,0.091396,0.088874,0.089907,665.7
72,0.091703,0.092342,0.086112,0.085650,666.2
73,0.091737,0.091065,0.093112,0.092422,666.8
74,0.091835,0.091555,0.092168,0.093857,664.6
75,0.091347,0.093941,0.097353,0.091797,665.1
76,0.091665,0.091495,0.087029,0.086503,665.0
77,0.091119,0.090603,0.093220,0.088874,665.5
78,0.091669,0.091419,0.090311,0.088325,664.6
79,0.091484,0.090723,0.084248,0.091466,665.0
80,0.091353,0.091812,0.088658,0.090925,664.7
81,0.091257,0.090551,0.096319,0.085456,667.0
82,0.091318,0.092813,0.091220,0.087632,665.6
83,0.091351,0.091459,0.088422,0.089742,664.7
84,0.091117,0.093396,0.094321,0.092846,665.6
85,0.091409,0.088340,0.091034,0.098060,665.3
86,0.091660,0.092208,0.092980,0.094963,665.0
87,0.091658,0.092652,0.090910,0.092269,666.2
88,0.090686,0.091982,0.089223,0.095498,663.4
89,0.091024,0.091083,0.083922,0.093938,664.8
90,0.091433,0.092954,0.088325,0.097425,664.8
91,0.091145,0.089446,0.091011,0.093263,665.6
92,0.091329,0.089859,0.090216,0.091292,665.1
93,0.090749,0.090352,0.091280,0.094625,665.6
94,0.091132,0.092321,0.096757,0.090936,664.1
95,0.090866,0.091724,0.094562,0.090844,663.7
96,0.091148,0.092510,0.091953,0.088205,664.8
97,0.091442,0.090950,0.094026,0.095985,663.5
98,0.091162,0.093268,0.087018,0.085306,663.6
99,0.091164,0.091320,0.084845,0.095540,663.7
100,0.090450,0.089764,0.090245,0.094657,664.1
101,0.090816,0.090847,0.097488,0.086200,663.7
102,0.090772,0.093012,0.092629,0.089980,665.9
103,0.091279,0.091184,0.092404,0.087705,664.3
104,0.091287,0.091733,0.094128,0.089524,665.1
105,0.090821,0.090683,0.085621,0.091451,665.3
106,0.090583,0.091647,0.082181,0.094505,665.2
107,0.090913,0.091242,0.092493,0.085543,666.3
108,0.091080,0.090587,0.088911,0.091162,666.4
109,0.090858,0.089825,0.086383,0.093484,663.9
110,0.090532,0.090517,0.088165,0.093720,664.7
111,0.090533,0.091950,0.098207,0.091178,664.0
112,0.090572,0.090578,0.094354,0.093251,663.2
113,0.090670,0.089440,0.096205,0.091309,664.4
114,0.090068,0.089690,0.093861,0.090368,664.3
115,0.090900,0.091449,0.087432,0.088086,662.2
116,0.090611,0.090380,0.087705,0.095702,665.7
117,0.090782,0.088666,0.092449,0.091750,664.4
118,0.090051,0.090216,0.091428,0.085570,664.5
119,0.090105,0.092053,0.094319,0.090875,662.7
120,0.090189,0.091398,0.090717,0.086447,664.2
121,0.090362,0.088210,0.086907,0.088868,664.0
122,0.090519,0.092823,0.084040,0.093468,664.6
123,0.090530,0.091731,0.090273,0.096996,662.6
124,0.089963,0.090291,0.091686,0.090244,662.8
125,0.090175,0.092261,0.087484,0.088961,664.8
126,0.090460,0.089926,0.095399,0.086716,663.1
127,0.090029,0.090379,0.090413,0.082709,664.4
128,0.090128,0.090152,0.094773,0.096002,663.8
129,0.090598,0.091293,0.094822,0.091677,662.1
130,0.089991,0.091678,0.089998,0.092120,663.8
131,0.090195,0.091240,0.095086,0.090796,664.4
132,0.090561,0.092085,0.089885,0.086982,662.1
133,0.090307,0.091728,0.087076,0.089456,664.6
134,0.090190,0.090561,0.093263,0.090348,662.7
135,0.090387,0.088532,0.082674,0.088212,663.8
136,0.089881,0.089832,0.088234,0.082963,664.7
137,0.089655,0.090331,0.094297,0.092054,664.4
138,0.089955,0.088974,0.088859,0.094551,664.1
139,0.090347,0.090005,0.089946,0.090136,663.7
140,0.090108,0.091181,0.091725,0.087887,662.9
141,0.089858,0.090086,0.090942,0.086277,662.1
142,0.090488,0.091602,0.086771,0.087100,664.2
143,0.090354,0.089361,0.094902,0.083210,663.2
144,0.089724,0.089903,0.089149,0.090472,662.5
145,0.090204,0.090755,0.089367,0.090856,664.1
146,0.090237,0.090774,0.092346,0.087345,662.5
147,0.090637,0.090995,0.085777,0.091791,663.9
148,0.089716,0.090275,0.083789,0.096176,663.0
149,0.089665,0.089916,0.091447,0.088750,664.3
150,0.090119,0.090183,0.091828,0.091348,663.0
151,0.090103,0.090004,0.091701,0.093089,663.7
152,0.090185,0.089357,0.089803,0.091504,665.6
153,0.090220,0.088857,0.088568,0.086502,663.9
154,0.089781,0.088943,0.080513,0.093768,663.4
155,0.089813,0.091344,0.093556,0.091739,663.0
156,0.090022,0.089734,0.086373,0.086198,661.7
157,0.089915,0.089663,0.088968,0.088735,664.1
158,0.089699,0.089662,0.089506,0.083854,662.2
159,0.090348,0.090636,0.093047,0.091925,663.5
160,0.089402,0.092644,0.085984,0.094494,663.2
161,0.089876,0.088868,0.084258,0.087312,663.3
162,0.089694,0.090060,0.088780,0.090031,662.9
163,0.089794,0.089236,0.092790,0.089331,661.0
164,0.089560,0.090694,0.084447,0.083922,663.7
165,0.089470,0.088754,0.082477,0.083195,664.4
166,0.089712,0.089774,0.093499,0.085067,663.6
167,0.089836,0.090839,0.089816,0.096464,664.3
168,0.089542,0.090903,0.086607,0.086303,662.9
169,0.089539,0.090177,0.089920,0.089514,663.6
170,0.089811,0.089712,0.090883,0.082665,663.7
171,0.089470,0.093280,0.090122,0.082441,664.4
172,0.089813,0.090281,0.090449,0.087526,662.0
173,0.089675,0.090590,0.094552,0.091904,663.2
174,0.089534,0.089786,0.088069,0.092640,663.7
175,0.089311,0.090367,0.094512,0.090008,663.5
176,0.089508,0.089978,0.088292,0.093852,662.9
177,0.089833,0.089837,0.089802,0.083474,663.7
178,0.090010,0.089955,0.086918,0.086593,663.0
179,0.090066,0.090773,0.092490,0.086878,664.3
180,0.089604,0.090894,0.093511,0.086428,663.9
181,0.089749,0.088393,0.090028,0.084125,664.1
182,0.089731,0.089492,0.085396,0.089725,662.7
183,0.089786,0.088560,0.086650,0.091451,664.4
184,0.089627,0.087666,0.091448,0.091325,662.7
185,0.089531,0.088708,0.089283,0.087226,665.8
186,0.090033,0.088989,0.088716,0.094239,662.6
187,0.089778,0.091009,0.085782,0.087356,663.3
188,0.089944,0.088737,0.088847,0.093670,661.9
189,0.089506,0.090229,0.088731,0.095393,661.8
190,0.089462,0.089852,0.088533,0.087685,662.8
191,0.090218,0.090919,0.090982,0.085326,661.9
192,0.089323,0.089622,0.085578,0.083296,661.5
193,0.089347,0.090823,0.093734,0.089300,664.3
194,0.089448,0.089938,0.093618,0.085169,664.2
195,0.089342,0.089029,0.088667,0.088954,661.0
196,0.089515,0.089538,0.086857,0.091283,662.4
197,0.089112,0.090560,0.086975,0.091309,662.0
198,0.089551,0.089732,0.090218,0.089461,663.4
199,0.089393,0.088170,0.084275,0.090505,664.3
200,0.089417,0.089628,0.086135,0.086256,664.8
201,0.089439,0.088254,0.089778,0.086764,663.4
202,0.089829,0.090714,0.098499,0.090540,664.4
203,0.089307,0.089628,0.084574,0.086834,662.6
204,0.089116,0.087980,0.089824,0.092256,662.0
205,0.089928,0.089114,0.091924,0.091880,662.7
206,0.089803,0.089718,0.088015,0.099421,663.7
207,0.089199,0.089088,0.088507,0.089023,663.1
208,0.089380,0.090052,0.089162,0.097752,663.1
209,0.090018,0.087194,0.088977,0.091362,664.8
210,0.089373,0.091168,0.089965,0.094107,663.4
211,0.089649,0.090731,0.089523,0.091930,665.0
212,0.089942,0.091595,0.090832,0.085238,663.5
213,0.089660,0.089650,0.094343,0.087150,663.8
214,0.089545,0.088537,0.088691,0.092339,663.5
215,0.089589,0.090457,0.093634,0.089936,663.1
216,0.089233,0.090394,0.087862,0.089546,663.1
217,0.089477,0.090352,0.088495,0.092821,664.2
218,0.089305,0.088150,0.088188,0.091517,663.1
219,0.089686,0.088014,0.087591,0.095328,663.1
