system,chemistry,kind,label,n_frames,natoms,rho_gcc,in_lite_corpus,figure,dmin_min,dmin_mean,dmin_gate_pass,rpeak_Ge-Ge,gpeak_Ge-Ge,fwhm_Ge-Ge,rpeak_Ge-O,gpeak_Ge-O,fwhm_Ge-O,rpeak_O-O,gpeak_O-O,fwhm_O-O,cnmean_Ge,cn4_Ge,cn6_Ge,cn7_Ge,cnmean_O,cn4_O,cn6_O,cn7_O,source,note,rpeak_Ti-Ti,gpeak_Ti-Ti,fwhm_Ti-Ti,rpeak_Ti-Ge,gpeak_Ti-Ge,fwhm_Ti-Ge,rpeak_Ti-O,gpeak_Ti-O,fwhm_Ti-O,cnmean_Ti,cn4_Ti,cn6_Ti,cn7_Ti,rpeak_Hf-Hf,gpeak_Hf-Hf,fwhm_Hf-Hf,rpeak_Hf-O,gpeak_Hf-O,fwhm_Hf-O,cnmean_Hf,cn4_Hf,cn6_Hf,cn7_Hf
GeO2m,GeO2,generated,GeO2m_r0,1,360,3.746,,,1.6943,1.6943,True,3.15,4.6421,0.2981,1.77,21.4884,0.1026,2.89,5.6593,0.2482,4.0417,0.9583,0.0,0.0,2.0208,0.0,0.0,0.0,generated,,,,,,,,,,,,,,,,,,,,,,,,
GeO2m,GeO2,generated,GeO2m_r1,1,360,3.746,,,1.7189,1.7189,True,3.23,4.6014,0.31,1.77,22.3881,0.1015,2.87,5.7303,0.2455,4.0333,0.9667,0.0,0.0,2.0167,0.0,0.0,0.0,generated,,,,,,,,,,,,,,,,,,,,,,,,
GeO2m,GeO2,generated,GeO2m_r2,1,360,3.746,,,1.7086,1.7086,True,3.23,4.6103,0.2873,1.77,21.3724,0.1029,2.87,5.9589,0.2234,4.075,0.925,0.0,0.0,2.0375,0.0,0.0,0.0,generated,,,,,,,,,,,,,,,,,,,,,,,,
GeO2m,GeO2,DFT,GeO2_relax_0K,10,360,3.7459,True,main,1.7284,1.729,True,3.15,4.6539,0.2921,1.77,22.8867,0.1008,2.89,5.1014,0.2779,4.0417,0.9583,0.0,0.0,2.0208,0.0,0.0,0.0,<dft-archive>/07_trainingset2/GeO/relax/s00_08_GeO_relax_300K/vasprun.xml,"IBRION=2 ISIF=2 ENCUT520 relaxation of the 360-atom melt-quenched a-GeO2 (origin mp-7812 melt-quench, NOT model-seeded); last 10 ionic steps; rho 3.746; epa -6.3414 = the paper's training minimum",,,,,,,,,,,,,,,,,,,,,,,
GeO2m,GeO2,DFT,GeO2_MD_10to300K,1000,360,3.7459,True,finiteT,1.6722,1.7125,True,3.17,3.9466,0.3485,1.77,22.284,0.1022,2.89,4.5252,0.3251,4.0425,0.9607,0.0032,0.0,2.0212,0.0,0.0,0.0,<dft-archive>/07_trainingset2/GeO/md_nvt/s00_08_GeO_300K_MD/vasprun.xml,"IBRION=0 SMASS=0 Nose NVT, POTIM 1 fs, NSW 1000 (1 ps), TEBEG 10 -> TEEND 300 K: a HEATING RAMP, not isothermal 300 K. 360 atoms, all 1000 frames. This is the reference behind paper Fig. 8.",,,,,,,,,,,,,,,,,,,,,,,
GeO2,,generated,GeO2_r0,1,360,3.65,,,1.6886,1.6886,True,3.19,4.5323,0.3191,1.77,21.5519,0.1034,2.85,5.6852,0.2323,4.0583,0.9417,0.0,0.0,2.0292,0.0,0.0,0.0,generated,,,,,,,,,,,,,,,,,,,,,,,,
GeO2,GeO2,generated,GeO2_r1,1,360,3.65,,,1.6952,1.6952,True,3.19,4.8897,0.3189,1.77,21.6855,0.103,2.89,5.8941,0.2186,4.0583,0.9417,0.0,0.0,2.0292,0.0,0.0,0.0,generated,,,,,,,,,,,,,,,,,,,,,,,,
GeO2,GeO2,generated,GeO2_r2,1,360,3.65,,,1.7017,1.7017,True,3.19,4.6525,0.2813,1.77,22.6245,0.1021,2.87,5.8961,0.23,4.0417,0.9583,0.0,0.0,2.0208,0.0,0.0,0.0,generated,,,,,,,,,,,,,,,,,,,,,,,,
GeO2,GeO2,DFT,GeO2_comp00_0K,10,300,3.683,False,aux,1.7173,1.7181,True,3.27,4.371,0.3288,1.77,22.9645,0.1009,2.87,5.268,0.2786,4.02,0.98,0.0,0.0,2.01,0.0,0.0,0.0,<dft-archive>/07_trainingset2/GeO/relax/s04_vasp_relax_comp_00_001/vasprun.xml,"300-atom Ge100O200 DFT relaxation, rho 3.683, epa -6.3330, last 10 ionic steps; NOT in the lite corpus",,,,,,,,,,,,,,,,,,,,,,,
GeO2big,GeO2,generated,GeO2big_r0,1,3000,3.65,,,1.6686,1.6686,True,3.25,4.312,0.3152,1.77,22.5312,0.102,2.89,5.6384,0.2481,4.035,0.965,0.0,0.0,2.0175,0.0,0.0,0.0,generated,,,,,,,,,,,,,,,,,,,,,,,,
